type,variable_or_abbreviation,short_name,description,census_table_used
variable,ai_ak_moe95,american_indian_or_alaska_native_only_percent_margin_of_error_95,margin of error (95%) corresponding to the ai_ak_estimate variable.Calculated from ai_ak and total population counts and corresponding and each corresponding. ,B02001
variable,ai_ak_se,american_indian_or_alaska_native_only_percent_standard_error,standard error corresponding to the ai_ak_estimate variable. Calculated from ai_ak and total population counts and corresponding and each corresponding. ,B02001
variable,ai_ak_cv,american_indian_or_alaska_native_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the ai_ak_estimate variable.Calculated from ai_ak and total population counts and corresponding and each corresponding. ,B02001
variable,ai_ak_form,american_indian_or_alaska_native_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B02001
variable,asian_est,asian_alone_percent,Estimate of percentage of people identifying as asian only in the area,B02001
variable,asian_moe90,asian_only_percent_margin_of_error_90,margin of error (90%) corresponding to the asian_estimate variable. Calculated from asian and total population counts and corresponding and each corresponding. ,B02001
variable,asian_moe95,asian_only_percent_margin_of_error_95,margin of error (95%) corresponding to the asian_estimate variable.Calculated from asian and total population counts and corresponding and each corresponding. ,B02001
variable,asian_se,asian_only_percent_standard_error,standard error corresponding to the asian_estimate variable. Calculated from asian and total population counts and corresponding and each corresponding. ,B02001
variable,asian_cv,asian_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the asian_estimate variable.Calculated from asian and total population counts and corresponding and each corresponding. ,B02001
variable,asian_form,asian_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B02001
variable,nh_pi_est,native_hawaiian_or_pacific_islander_alone_percent,Estimate of percentage of people identifying as native hawaiian or pacific islander  only in an area,B02001
variable,nh_pi_moe90,native_hawaiian_or_pacific_islander_only_percent_margin_of_error_90,margin of error (90%) corresponding to the nh_pi_estimate variable. Calculated from nh_pi and total population counts and corresponding and each corresponding. ,B02001
variable,nh_pi_moe95,native_hawaiian_or_pacific_islander_only_percent_margin_of_error_95,margin of error (95%) corresponding to the nh_pi_estimate variable.Calculated from nh_pi and total population counts and corresponding and each corresponding. ,B02001
variable,nh_pi_se,native_hawaiian_or_pacific_islander_only_percent_standard_error,standard error corresponding to the nh_pi_estimate variable. Calculated from nh_pi and total population counts and corresponding and each corresponding. ,B02001
variable,nh_pi_cv,native_hawaiian_or_pacific_islander_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the nh_pi_estimate variable.Calculated from nh_pi and total population counts and corresponding and each corresponding. ,B02001
variable,nh_pi_form,native_hawaiian_or_pacific_islander_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B02001
variable,other_est,other_race_alone_percent,Estimate of percentage of people identifying as an alternative race not on the survey in an area,B02001
variable,other_moe90,other_race_only_percent_margin_of_error_90,margin of error (90%) corresponding to the other_estimate variable. Calculated from other and total population counts and corresponding and each corresponding. ,B02001
variable,other_moe95,other_race_only_percent_margin_of_error_95,margin of error (95%) corresponding to the other_estimate variable.Calculated from other and total population counts and corresponding and each corresponding. ,B02001
variable,other_se,other_race_only_percent_standard_error,standard error corresponding to the other_estimate variable. Calculated from other and total population counts and corresponding and each corresponding. ,B02001
variable,other_cv,other_race_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the other_estimate variable.Calculated from other and total population counts and corresponding and each corresponding. ,B02001
variable,other_form,other_race_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B02001
variable,two_race_est,multi_race_percent,Estimate of percentage of people identifying as multi racial in an area,B02001
variable,two_race_moe90,two_or_more_races_only_percent_margin_of_error_90,margin of error (90%) corresponding to the two_race_estimate variable. Calculated from two_race and total population counts and corresponding and each corresponding. ,B02001
variable,two_race_moe95,two_or_more_races_only_percent_margin_of_error_95,margin of error (95%) corresponding to the two_race_estimate variable.Calculated from two_race and total population counts and corresponding and each corresponding. ,B02001
variable,two_race_se,two_or_more_races_only_percent_standard_error,standard error corresponding to the two_race_estimate variable. Calculated from two_race and total population counts and corresponding and each corresponding. ,B02001
variable,two_race_cv,two_or_more_races_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the two_race_estimate variable.Calculated from two_race and total population counts and corresponding and each corresponding. ,B02001
variable,two_race_form,two_or_more_races_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B02001
variable,hisp_est,histpanic_latino_percent,Estimate of percentage of people identifying as hispanic or latino in an area,B03003
variable,hisp_moe90,hispanic_latino_only_percent_margin_of_error_90,margin of error (90%) corresponding to the hisp_estimate variable. Calculated from hisp and total population counts and corresponding and each corresponding. ,B03003
variable,hisp_moe95,hispanic_latino_only_percent_margin_of_error_95,margin of error (95%) corresponding to the hisp_estimate variable.Calculated from hisp and total population counts and corresponding and each corresponding. ,B03003
variable,hisp_se,hispanic_latino_only_percent_standard_error,standard error corresponding to the hisp_estimate variable. Calculated from hisp and total population counts and corresponding and each corresponding. ,B03003
variable,hisp_cv,hispanic_latino_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the hisp_estimate variable.Calculated from hisp and total population counts and corresponding and each corresponding. ,B03003
variable,hisp_form,hispanic_latino_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B03003
variable,vet_est,veteran_percentage,Estimate of percentage of veterans living in the area,B21001
variable,vet_moe90,veteran_only_percent_margin_of_error_90,margin of error (90%) corresponding to the veteran_estimate variable. Calculated from veteran and total population counts and corresponding and each corresponding. ,B21001
variable,vet_moe95,veteran_only_percent_margin_of_error_95,margin of error (95%) corresponding to the veteran_estimate variable.Calculated from veteran and total population counts and corresponding and each corresponding. ,B21001
variable,vet_se,veteran_only_percent_standard_error,standard error corresponding to the veteran_estimate variable. Calculated from veteran and total population counts and corresponding and each corresponding. ,B21001
variable,vet_cv,veteran_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the veteran_estimate variable.Calculated from veteran and total population counts and corresponding and each corresponding. ,B21001
variable,vet_form,veteran_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B21001
variable,vacant_est,house_vacancy_percentage,Estimate of percentage of households that are vacant,B25002
variable,vacant_moe90,house_vacancy_only_percent_margin_of_error_90,margin of error (90%) corresponding to the vacant_estimate variable. Calculated from vacant and total population counts and corresponding and each corresponding. ,B25002
variable,vacant_moe95,house_vacancy_only_percent_margin_of_error_95,margin of error (95%) corresponding to the vacant_estimate variable.Calculated from vacant and total population counts and corresponding and each corresponding. ,B25002
variable,vacant_se,house_vacancy_only_percent_standard_error,standard error corresponding to the vacant_estimate variable. Calculated from vacant and total population counts and corresponding and each corresponding. ,B25002
variable,vacant_cv,house_vacancy_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the vacant_estimate variable.Calculated from vacant and total population counts and corresponding and each corresponding. ,B25002
variable,vacant_form,house_vacancy_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B25002
variable,ownership_est,house_ownership_percent,Estimate of percentage of households where the person who lives in the household owns the house,B25003
variable,ownership_moe90,house_ownership_only_percent_margin_of_error_90,margin of error (90%) corresponding to the ownership_estimate variable. Calculated from ownership and total population counts and corresponding and each corresponding. ,B25003
variable,ownership_moe95,house_ownership_only_percent_margin_of_error_95,margin of error (95%) corresponding to the ownership_estimate variable.Calculated from ownership and total population counts and corresponding and each corresponding. ,B25003
variable,ownership_se,house_ownership_only_percent_standard_error,standard error corresponding to the ownership_estimate variable. Calculated from ownership and total population counts and corresponding and each corresponding. ,B25003
variable,ownership_cv,house_ownership_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the ownership_estimate variable.Calculated from ownership and total population counts and corresponding and each corresponding. ,B25003
variable,ownership_form,house_ownership_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B25003
variable,poverty_est,household_below_poverty_percent,Estimate of percentage of households living under the poverty line in the past 12 months.,B17017
variable,poverty_moe90,households_below_poverty_only_percent_margin_of_error_90,margin of error (90%) corresponding to the black_alone_estimate variable. Calculated from black_alone and total population counts and corresponding and each corresponding. ,B17017
variable,poverty_moe95,households_below_poverty_only_percent_margin_of_error_95,margin of error (95%) corresponding to the black_alone_estimate variable.Calculated from black_alone and total population counts and corresponding and each corresponding. ,B17017
variable,poverty_se,households_below_poverty_only_percent_standard_error,standard error corresponding to the black_alone_estimate variable. Calculated from black_alone and total population counts and corresponding and each corresponding. ,B17017
variable,poverty_cv,households_below_poverty_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the black_alone_estimate variable.Calculated from black_alone and total population counts and corresponding and each corresponding. ,B17017
variable,poverty_form,households_below_poverty_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B17017
variable,live_alone_est,householder_live_alone_percent,Estimate of percentage of households where the householder lives alone in an area,B11001
variable,live_alone_moe90,householders_living_alone_only_percent_margin_of_error_90,margin of error (90%) corresponding to the live_alone_estimate variable. Calculated from live_alone and total population counts and corresponding and each corresponding. ,B11001
variable,live_alone_moe95,householders_living_alone_only_percent_margin_of_error_95,margin of error (95%) corresponding to the live_alone_estimate variable.Calculated from live_alone and total population counts and corresponding and each corresponding. ,B11001
variable,live_alone_se,householders_living_alone_only_percent_standard_error,standard error corresponding to the live_alone_estimate variable. Calculated from live_alone and total population counts and corresponding and each corresponding. ,B11001
variable,live_alone_cv,householders_living_alone_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the live_alone_estimate variable.Calculated from live_alone and total population counts and corresponding and each corresponding. ,B11001
variable,live_alone_form,householders_living_alone_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B11001
variable,unemployed_est,unemployed_percent,Estimate of percentage of people age 16 years and older that are unemployed,B23025
variable,unemployed_moe90,unemployed_only_percent_margin_of_error_90,margin of error (90%) corresponding to the unemployed_estimate variable. Calculated from unemployed and total population counts and corresponding and each corresponding. ,B23025
variable,unemployed_moe95,unemployed_only_percent_margin_of_error_95,margin of error (95%) corresponding to the unemployed_estimate variable.Calculated from unemployed and total population counts and corresponding and each corresponding. ,B23025
variable,unemployed_se,unemployed_only_percent_standard_error,standard error corresponding to the unemployed_estimate variable. Calculated from unemployed and total population counts and corresponding and each corresponding. ,B23025
variable,unemployed_cv,unemployed_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the unemployed_estimate variable.Calculated from unemployed and total population counts and corresponding and each corresponding. ,B23025
variable,unemployed_form,unemployed_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B23025
variable,transport_est,commute_greater_than_60_mins_to_work_percent,Estimate of percentage of 16 year old and older who work and commute 60 mins or more to work in an area,B08134
variable,transport_moe90,commute_over_60_mins_percent_margin_of_error_90,margin of error (90%) corresponding to the transport_estimate variable. Calculated from transport and total population counts and corresponding and each corresponding. ,B08134
variable,transport_moe95,commute_over_60_mins_percent_margin_of_error_95,margin of error (95%) corresponding to the transport_estimate variable.Calculated from transport and total population counts and corresponding and each corresponding. ,B08134
variable,transport_se,commute_over_60_mins_percent_standard_error,standard error corresponding to the transport_estimate variable. Calculated from transport and total population counts and corresponding and each corresponding. ,B08134
variable,transport_cv,commute_over_60_mins_percent_coefficient_of_variation,coefficiant of variation corresponding to the transport_estimate variable.Calculated from transport and total population counts and corresponding and each corresponding. ,B08134
variable,transport_form,black_alone_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B08134
variable,min_est,minority_non_white_percent,Estimate of percentage of people identifying as a race other than white in an area,B02001
variable,min_moe90,minority_non_white_only_percent_margin_of_error_90,margin of error (90%) corresponding to the min_estimate variable. Calculated from min and total population counts and corresponding and each corresponding. ,B02001
variable,min_moe95,minority_non_white_only_percent_margin_of_error_95,margin of error (95%) corresponding to the min_estimate variable.Calculated from min and total population counts and corresponding and each corresponding. ,B02001
variable,min_se,minority_non_white_only_percent_standard_error,standard error corresponding to the min_estimate variable. Calculated from min and total population counts and corresponding and each corresponding. ,B02001
variable,min_cv,minority_non_white_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the min_estimate variable.Calculated from min and total population counts and corresponding and each corresponding. ,B02001
variable,min_form,minority_non_white_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B02001
variable,eng_est,limited_english_speaking_household_percent,Estimate of percentage of house holds with a limited english speaking capability in an area,B16002
variable,eng_moe90,limited_english_speaking_household_percent_only_percent_margin_of_error_90,margin of error (90%) corresponding to the eng_estimate variable. Calculated from eng and total population counts and corresponding and each corresponding. ,B16002
variable,eng_moe95,limited_english_speaking_household_percent_only_percent_margin_of_error_95,margin of error (95%) corresponding to the eng_estimate variable.Calculated from eng and total population counts and corresponding and each corresponding. ,B16002
variable,eng_se,limited_english_speaking_household_percent_only_percent_standard_error,standard error corresponding to the eng_estimate variable. Calculated from eng and total population counts and corresponding and each corresponding. ,B16002
variable,eng_cv,limited_english_speaking_household_percent_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the eng_estimate variable.Calculated from eng and total population counts and corresponding and each corresponding. ,B16002
variable,eng_form,limited_english_speaking_household_percent_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B16002
variable,edu_est,high_school_education_or_less_percent,Estimate of percentage of those 25 and older who have a high school education or equivalency or less in an area,B15003
variable,edu_moe90,high_school_or_less_only_percent_margin_of_error_90,margin of error (90%) corresponding to the edu_estimate variable. Calculated from edu and total population counts and corresponding and each corresponding. ,B15003
variable,edu_moe95,high_school_or_less_only_percent_margin_of_error_95,margin of error (95%) corresponding to the edu_estimate variable.Calculated from edu and total population counts and corresponding and each corresponding. ,B15003
variable,edu_se,high_school_or_less_only_percent_standard_error,standard error corresponding to the edu_estimate variable. Calculated from edu and total population counts and corresponding and each corresponding. ,B15003
variable,edu_cv,high_school_or_less_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the edu_estimate variable.Calculated from edu and total population counts and corresponding and each corresponding. ,B15003
variable,edu_form,high_school_or_less_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B15003
